date,symbol,volume,transaction,open,high,low,close
2025-12-18,6770,221716222,77428,34.75,35.9,34.7,35.5
2025-12-18,2337,161172051,68073,37.75,39.2,37.7,37.95
2025-12-18,2892,129846421,27503,29.5,29.95,29.2,29.4
2025-12-18,2313,129743017,84002,96.0,98.1,90.2,91.4
2025-12-18,0050,117973409,87078,61.8,62.1,61.55,61.9
2025-12-18,00981A,112691418,27381,15.7,15.79,15.63,15.7
2025-12-18,00919,84365415,20289,22.15,22.24,22.05,22.15
2025-12-18,1802,76926852,32862,32.95,33.7,32.25,32.9
2025-12-18,2884,76417838,41715,33.8,34.2,32.9,33.25
2025-12-18,2891,75653296,28295,49.9,49.9,48.65,49.35
2025-12-18,2485,65436752,28812,29.7,30.5,28.55,28.95
2025-12-18,00918,64177234,26843,22.37,22.37,22.19,22.2
2025-12-18,2303,62841252,25214,50.2,50.7,49.7,50.3
2025-12-18,2882,55255251,20920,73.7,74.8,72.6,74.4
2025-12-18,0052,52410869,32731,35.28,35.54,35.22,35.31
2025-12-18,2317,50364181,46455,214.5,217.0,213.5,216.0
2025-12-18,2486,50263403,31108,100.0,103.0,90.1,90.3
2025-12-19,2344,495025660,220957,76.9,77.5,71.2,71.3
2025-12-19,2887,491464941,37609,21.1,21.9,21.1,21.4
2025-12-19,6770,336341381,119988,36.65,37.35,35.2,36.8
2025-12-19,00991A,178313240,26459,9.82,9.88,9.81,9.84
2025-12-19,2884,140458700,22425,33.2,33.7,32.9,33.55
2025-12-19,2337,136027724,58112,39.2,39.8,37.05,37.15
2025-12-19,1303,126489251,56741,58.4,61.4,57.8,59.9
2025-12-19,2892,111768493,15307,29.4,29.95,29.4,29.95
2025-12-19,00919,110241657,22114,22.15,22.32,22.15,22.31
2025-12-19,00981A,97380161,16754,15.9,16.04,15.87,15.99
2025-12-19,5876,91210839,5448,40.0,41.15,40.0,41.15
2025-12-19,2891,88296236,22483,49.15,50.2,48.95,49.5
2025-12-19,0050,81027467,41675,62.4,62.75,62.35,62.5
2025-12-19,3481,76907150,13726,12.5,12.9,12.35,12.7
2025-12-19,2313,74228272,53321,93.0,93.3,87.1,87.8
2025-12-19,2485,68777575,33676,29.4,30.9,28.8,29.1
2025-12-19,2303,68294516,17521,50.3,50.7,50.1,50.7
2025-12-19,1802,63472457,27581,33.25,34.5,33.2,33.65
2025-12-19,2890,52639238,10976,28.85,29.4,28.75,29.1
2025-12-19,2882,52095116,16678,74.6,75.5,73.9,75.5
2025-12-22,2887,485118338,22184,21.45,21.65,21.2,21.2
2025-12-22,6770,477376736,139745,38.8,40.45,38.75,40.45
2025-12-22,2344,238544600,102563,73.9,75.0,72.8,73.1
2025-12-22,00990A,159769542,14321,9.98,10.04,9.98,10.04
2025-12-22,2408,156426861,85053,184.5,186.0,178.5,180.0
2025-12-22,2337,140883016,55963,38.15,39.7,38.1,38.95
2025-12-22,2884,112981625,28430,33.45,33.6,33.1,33.3
2025-12-22,00991A,110563303,14391,9.97,10.02,9.97,10.02
2025-12-22,2892,108438163,17315,30.0,30.5,29.85,30.1
2025-12-22,00919,94929493,24206,22.46,22.55,22.41,22.54
2025-12-22,0050,93882538,52777,63.3,63.45,63.05,63.4
2025-12-22,1802,83229850,35205,34.5,36.2,34.25,35.75
2025-12-22,2313,77050928,38523,89.5,96.5,89.5,96.5
2025-12-22,2891,71558308,19815,50.0,50.4,49.7,50.4
2025-12-22,00878,70536119,23214,21.62,21.72,21.6,21.69
2025-12-22,1303,69732905,33469,60.7,61.6,60.3,60.4
2025-12-22,00981A,68057950,14589,16.26,16.29,16.16,16.25
2025-12-22,2303,65904394,19418,51.0,51.1,50.4,50.9
2025-12-22,3481,60458852,13140,12.7,12.85,12.55,12.65
2025-12-22,2485,49987801,24056,29.0,30.2,28.45,29.45
2025-12-23,6770,539300263,196543,41.95,42.2,38.8,39.0
2025-12-23,2887,362589926,24512,21.2,21.25,20.9,20.9
2025-12-23,2344,155196257,88042,74.0,74.4,72.4,73.0
2025-12-23,00990A,125966186,16597,10.07,10.15,10.06,10.14
2025-12-23,2313,109778078,73888,98.4,104.5,97.7,101.5
2025-12-23,2884,106150508,26522,33.2,33.55,32.75,33.55
2025-12-23,0050,101867829,44429,63.5,63.8,63.5,63.7
2025-12-23,2892,99303618,18392,30.1,30.2,29.6,29.65
2025-12-23,3481,94214159,16694,12.85,13.15,12.55,13.05
2025-12-23,2337,84708441,37913,39.4,39.5,38.35,38.5
2025-12-23,00991A,80779439,9697,10.03,10.04,10.0,10.03
2025-12-23,2408,74676446,50113,181.0,181.5,176.0,176.5
2025-12-23,1802,66038155,30428,35.8,35.9,34.5,35.5
2025-12-23,00919,65694568,17866,22.55,22.58,22.38,22.46
2025-12-23,8131,64841217,38373,59.2,60.4,55.1,58.2
2025-12-23,1303,62689338,37607,60.4,60.4,57.8,58.8
2025-12-23,00981A,60581346,11871,16.32,16.36,16.28,16.29
2025-12-23,00715L,56731128,5801,19.87,19.93,19.8,19.81
2025-12-23,2891,51498944,11416,50.4,50.4,49.85,50.4
2025-12-23,00637L,51446621,5392,20.56,20.92,20.52,20.84
2025-12-24,2887,322884889,22526,21.05,21.25,20.75,20.75
2025-12-24,2344,321347803,156105,73.6,77.2,72.5,76.9
2025-12-24,6770,261731116,115770,39.35,40.4,38.5,40.4
2025-12-24,1605,173832442,69154,31.45,33.0,31.25,31.65
2025-12-24,00990A,161502875,21577,10.22,10.51,10.22,10.45
2025-12-24,2408,118963502,76870,177.5,190.0,175.0,189.0
2025-12-24,3481,109376401,21883,13.45,13.5,13.15,13.25
2025-12-24,00991A,107815835,11128,10.06,10.22,10.05,10.22
2025-12-24,2884,107419499,24649,33.15,33.95,32.85,33.95
2025-12-24,00981A,106354547,17831,16.44,16.54,16.4,16.5
2025-12-24,2892,85511344,20813,29.75,30.05,29.25,29.3
2025-12-24,2337,68855783,29596,38.75,39.15,38.0,38.95
2025-12-24,1802,65638246,28441,35.9,36.35,34.8,34.9
2025-12-24,0050,64106420,41909,63.95,64.05,63.75,63.85
2025-12-24,00919,63507199,15880,22.5,22.62,22.46,22.5
2025-12-24,00715L,57429447,5296,20.05,20.19,20.02,20.14
2025-12-24,2891,57248619,18747,50.1,50.9,49.85,50.3
2025-12-24,2409,55673459,8501,11.5,11.65,11.35,11.45
2025-12-24,2880,52836001,16586,31.75,32.0,31.35,32.0
2025-12-24,2313,51717482,35984,102.5,103.5,98.6,99.0
2025-12-26,6770,314496918,133600,41.55,42.2,40.0,40.05
2025-12-26,2344,274963547,158763,78.0,79.1,76.0,76.5
2025-12-26,2887,272058869,19802,20.8,20.95,20.6,20.6
2025-12-26,1605,201756824,81610,32.6,33.7,32.45,33.45
2025-12-26,00990A,196023120,25234,10.52,10.73,10.51,10.68
2025-12-26,00991A,153796077,18406,10.31,10.39,10.3,10.35
2025-12-26,3481,106335212,20116,13.35,13.7,12.95,13.5
2025-12-26,00981A,101602752,20866,16.62,16.78,16.61,16.75
2025-12-26,2337,92195322,40472,39.55,40.1,38.6,39.2
2025-12-26,2884,91774406,27527,33.65,34.15,33.2,34.15
2025-12-26,2408,78418819,51034,190.5,191.5,187.0,189.0
2025-12-26,0050,70816194,54305,64.2,64.5,64.1,64.4
2025-12-26,2892,68769012,14897,29.45,29.7,29.2,29.5
2025-12-26,1802,65610583,26674,35.5,36.2,34.9,35.1
2025-12-26,8422,64045354,26019,24.45,26.95,24.35,26.65
2025-12-26,00982A,61278711,12154,14.18,14.35,14.17,14.34
2025-12-26,4989,59873969,42684,47.45,50.2,46.15,47.8
2025-12-26,3006,57458055,43413,98.2,106.0,98.0,105.0
